model,framework,training_id,model_full,direction,batch_size,round,converter,original_size,converted_size,original_infererence_time,converted_infererence_time,conversion_time,saving_converted_time,overral_time,avg_abs_error,median_abs_error,min_abs_error,max_abs_error,avg_rel_error,median_rel_error,min_rel_error,max_rel_error
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,0,onnxruntime,89756056,44688713,3.351125955581665,0.011348724365234375,13.052424669265747,,16.76267719268799,3.9562883e-07,1.3911631e-08,8.526513e-13,1.9669533e-06,5.0848575e-06,3.375978e-06,1.5197745e-07,1.4025756e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,0,onnx2keras,89756056,44817208,3.351125955581665,0.41976141929626465,0.526625394821167,0.16489386558532715,5.507907867431641,2.182879e-07,1.2747478e-08,4.2632564e-12,1.013279e-06,5.7994707e-06,6.73762e-06,5.319207e-07,1.1873763e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,onnx-keras2,1,0,onnx2keras,89756056,44817208,3.351125955581665,0.41976141929626465,0.526625394821167,0.16489386558532715,5.507907867431641,1.919519e-07,9.837095e-09,5.1159077e-12,9.536743e-07,3.932389e-06,2.6435482e-06,2.6085087e-07,9.879562e-06
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,1,onnxruntime,89756056,44688719,0.0716867446899414,0.011914968490600586,11.84408950805664,,12.173310279846191,1.5637207e-07,4.004687e-08,9.663381e-13,6.7800283e-07,5.6946255e-06,2.882946e-06,4.1223507e-07,1.3217304e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,1,onnx2keras,89756056,44817208,0.0716867446899414,0.33852434158325195,0.5098667144775391,0.1853790283203125,2.0094125270843506,3.5194117e-07,4.1662133e-08,1.7053026e-12,1.4305115e-06,5.0945173e-06,2.8617342e-06,7.5158493e-07,1.5187161e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,onnx-keras2,1,1,onnx2keras,89756056,44817208,0.0716867446899414,0.33852434158325195,0.5098667144775391,0.1853790283203125,2.0094125270843506,3.406284e-07,1.3387762e-08,7.3896445e-13,1.66893e-06,3.6919369e-06,3.1607353e-06,8.494816e-07,1.1489767e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,2,onnxruntime,89756056,44688719,0.06706833839416504,0.011434555053710938,10.545469522476196,,10.815524578094482,1.12469095e-07,9.284122e-09,2.5579538e-12,5.364418e-07,2.7681394e-06,2.5636177e-06,1.3083361e-07,7.327987e-06
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,2,onnx2keras,89756056,44817208,0.06706833839416504,0.33843994140625,0.503354549407959,0.18325233459472656,2.0587689876556396,5.904595e-08,7.21775e-09,9.663381e-13,3.5762787e-07,3.0256933e-06,1.8422543e-06,6.541681e-08,1.0877442e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,onnx-keras2,1,2,onnx2keras,89756056,44817208,0.06706833839416504,0.33843994140625,0.503354549407959,0.18325233459472656,2.0587689876556396,1.6276061e-07,6.2864274e-09,3.524292e-12,8.940697e-07,2.7503488e-06,2.8360414e-06,6.541681e-08,5.4318066e-06
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,3,onnxruntime,89756056,44688723,0.06732892990112305,0.010739564895629883,10.723179817199707,,10.99197244644165,4.7415557e-07,1.5366822e-08,3.126388e-12,2.3841858e-06,4.562055e-06,3.1094887e-06,1.2913345e-06,1.2540199e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,3,onnx2keras,89756056,44817208,0.06732892990112305,0.3366115093231201,0.4907078742980957,0.18161845207214355,1.9845001697540283,7.9051017e-07,3.8184226e-08,0.0,3.993511e-06,8.063274e-06,6.269582e-06,0.0,2.2791548e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,onnx-keras2,1,3,onnx2keras,89756056,44817208,0.06732892990112305,0.3366115093231201,0.4907078742980957,0.18161845207214355,1.9845001697540283,3.2986458e-07,2.2700988e-08,3.1548097e-12,1.6093254e-06,4.7468375e-06,4.0604477e-06,8.097363e-07,1.025122e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,4,onnxruntime,89756056,44688726,0.06494140625,0.011488676071166992,10.224994659423828,,10.509850978851318,1.4148723e-07,7.683411e-09,4.1779913e-12,5.327165e-07,4.976555e-06,2.6115977e-06,3.0400182e-07,1.8554807e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,4,onnx2keras,89756056,44817208,0.06494140625,0.34061646461486816,0.49996256828308105,0.18490028381347656,2.0959038734436035,2.9361692e-07,9.429641e-09,2.842171e-13,1.1324883e-06,5.077139e-06,4.2919173e-06,6.045996e-07,1.24364515e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,onnx-keras2,1,4,onnx2keras,89756056,44817208,0.06494140625,0.34061646461486816,0.49996256828308105,0.18490028381347656,2.0959038734436035,2.2584473e-07,1.7113052e-08,4.4622084e-12,1.0281801e-06,5.6532476e-06,5.8392134e-06,1.0698972e-06,9.492214e-06
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,5,onnxruntime,89756056,44688726,0.06672096252441406,0.011134147644042969,10.570977449417114,,10.80927062034607,1.3126562e-07,6.2282197e-09,6.252776e-13,5.364418e-07,2.645849e-06,1.4644755e-06,2.3409875e-07,7.876386e-06
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,5,onnx2keras,89756056,44817208,0.06672096252441406,0.33461475372314453,0.48932504653930664,0.1806960105895996,2.0005202293395996,1.0794647e-07,7.581548e-09,3.5811354e-12,3.5762787e-07,4.220524e-06,3.2952175e-06,4.2786522e-07,1.2325141e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,onnx-keras2,1,5,onnx2keras,89756056,44817208,0.06672096252441406,0.33461475372314453,0.48932504653930664,0.1806960105895996,2.0005202293395996,1.3390266e-07,1.1845259e-08,2.9558578e-12,7.227063e-07,3.841512e-06,4.678496e-06,2.2662515e-07,6.5254826e-06
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,kera-onnx,1,6,onnxruntime,89756056,44688726,0.0642554759979248,0.011035680770874023,10.303994417190552,,10.693410158157349,4.347938e-07,2.3224857e-08,3.410605e-13,2.1457672e-06,3.9850866e-06,3.3566025e-06,4.081593e-07,1.1556455e-05
resnet18,keras,5,tf_resnet18-cifar10_2021-10-29_5,keras-keras2,1,6,onnx2keras,89756056,44817208,0.0642554759979248,0.33221983909606934,0.4979593753814697,0.18433547019958496,2.0529110431671143,2.0797604e-07,1.8510036e-08,6.252776e-13,9.983778e-07,2.3914772e-06,1.9574293e-06,5.600562e-07,7.1034774e-06
